profile_id,user_id,name,avatar_url,is_kids,maturity_rating,language,created_at
1,1,Główny,https://avatar.example.com/1.jpg,false,13+,pl,2023-07-31 12:42:06
2,1,Dzieci,https://avatar.example.com/2.jpg,true,ALL,pl,2024-07-10 20:22:34
3,1,Gość,,false,7+,pl,2023-07-13 02:21:05
4,1,Partner,,false,ALL,pl,2021-08-31 13:54:03
5,2,Główny,https://avatar.example.com/5.jpg,false,16+,pl,2023-01-14 04:09:27
6,3,Główny,https://avatar.example.com/6.jpg,false,13+,pl,2023-02-25 00:08:59
7,3,Dzieci,,true,ALL,en,2022-03-11 17:11:25
8,4,Główny,https://avatar.example.com/8.jpg,false,7+,de,2020-10-12 02:56:58
9,4,Dzieci,https://avatar.example.com/9.jpg,false,ALL,de,2020-03-21 16:05:55
10,5,Główny,,false,18+,en,2020-06-02 16:13:10
11,5,Dzieci,,false,18+,es,2023-12-29 11:50:47
12,5,Gość,,false,ALL,pl,2024-02-19 13:14:36
13,6,Główny,https://avatar.example.com/13.jpg,false,16+,en,2025-12-17 00:25:54
14,6,Dzieci,https://avatar.example.com/14.jpg,true,ALL,de,2023-01-05 17:16:38
15,6,Gość,,false,16+,en,2021-08-29 05:02:12
16,7,Główny,https://avatar.example.com/16.jpg,false,13+,pl,2022-07-20 06:50:26
17,7,Dzieci,https://avatar.example.com/17.jpg,false,16+,pl,2024-01-05 14:59:34
18,8,Główny,https://avatar.example.com/18.jpg,false,18+,pl,2024-01-10 15:09:10
19,8,Dzieci,,false,18+,de,2024-03-31 14:24:01
20,9,Główny,https://avatar.example.com/20.jpg,false,7+,pl,2022-01-21 17:13:32
21,10,Główny,https://avatar.example.com/21.jpg,false,18+,en,2020-05-28 13:09:50
22,10,Dzieci,,false,7+,pl,2021-01-30 10:23:41
23,10,Gość,,false,16+,pl,2021-09-18 03:04:07
24,11,Główny,https://avatar.example.com/24.jpg,false,16+,en,2023-09-27 07:17:05
25,12,Główny,,false,ALL,pl,2022-02-15 19:49:55
26,12,Dzieci,https://avatar.example.com/26.jpg,true,ALL,pl,2020-03-11 14:51:43
27,13,Główny,https://avatar.example.com/27.jpg,false,7+,pl,2023-07-18 09:36:59
28,13,Dzieci,https://avatar.example.com/28.jpg,false,18+,pl,2021-07-26 04:19:11
29,13,Gość,https://avatar.example.com/29.jpg,false,13+,en,2020-01-06 20:01:06
30,14,Główny,https://avatar.example.com/30.jpg,false,ALL,pl,2025-05-19 17:54:50
31,14,Dzieci,,true,ALL,en,2024-09-11 18:03:35
32,15,Główny,https://avatar.example.com/32.jpg,false,13+,es,2023-03-23 03:50:06
33,15,Dzieci,,false,16+,pl,2025-07-21 03:29:34
34,15,Gość,,false,16+,pl,2021-03-22 11:56:03
35,16,Główny,,false,ALL,pl,2021-02-15 16:27:15
36,16,Dzieci,https://avatar.example.com/36.jpg,false,7+,pl,2025-08-31 18:51:48
37,16,Gość,https://avatar.example.com/37.jpg,false,13+,pl,2020-06-21 01:40:26
38,16,Partner,https://avatar.example.com/38.jpg,false,18+,fr,2024-08-26 19:43:45
39,16,Rodzina,https://avatar.example.com/39.jpg,false,7+,en,2022-12-07 07:26:19
40,17,Główny,https://avatar.example.com/40.jpg,false,18+,en,2020-05-06 19:52:09
41,17,Dzieci,https://avatar.example.com/41.jpg,true,ALL,de,2024-10-04 21:27:25
42,17,Gość,https://avatar.example.com/42.jpg,false,7+,es,2023-04-28 19:33:56
43,18,Główny,https://avatar.example.com/43.jpg,false,18+,en,2025-11-01 20:17:58
44,18,Dzieci,https://avatar.example.com/44.jpg,false,18+,pl,2023-03-24 20:08:03
45,19,Główny,https://avatar.example.com/45.jpg,false,7+,pl,2024-07-27 23:46:01
